Model,STS Score,Inference Time (ms),Model Size (MB),Embedding Dim,Topsis Score,Rank
MiniLM,0.83,18,90,384,0.5294311716239626,2
MPNet,0.86,32,420,768,0.4439813204376634,5
USE,0.82,25,250,512,0.4614509104273662,4
DistilBERT,0.79,20,260,768,0.6759534002929677,1
RoBERTa,0.85,40,500,1024,0.47258930395595605,3
